AMBUJACEM,2021: ROCE differs from source by >5%; category=version difference; computed=25.016453098989587; source=12.8
AMBUJACEM,2021: ROE differs from source by >5%; category=data source issue; computed=14.636743709079436; source=9.24
APOLLOHOSP,2016: ROE differs from source by >5%; category=data source issue; computed=7.052821128451381; source=13.81
APOLLOHOSP,2017: ROE differs from source by >5%; category=data source issue; computed=3.952926976463488; source=13.81
APOLLOHOSP,2018: ROE differs from source by >5%; category=data source issue; computed=1.8450184501845017; source=13.81
APOLLOHOSP,2019: ROE differs from source by >5%; category=data source issue; computed=5.9988002399520095; source=13.81
APOLLOHOSP,2020: ROCE differs from source by >5%; category=version difference; computed=26.13898500576701; source=17.2
APOLLOHOSP,2021: ROE differs from source by >5%; category=data source issue; computed=2.976319791440365; source=13.81
APOLLOHOSP,2022: ROCE differs from source by >5%; category=version difference; computed=26.385305953977916; source=17.2
APOLLOHOSP,2022: ROE differs from source by >5%; category=data source issue; computed=19.704783923172684; source=13.81
ASIANPAINT,2013: ROCE differs from source by >5%; category=version difference; computed=50.92159559834938; source=41.75
ASIANPAINT,2014: ROCE differs from source by >5%; category=version difference; computed=49.62686567164179; source=41.75
ASIANPAINT,2018: ROE differs from source by >5%; category=data source issue; computed=24.94649227110583; source=31.45
ASIANPAINT,2019: ROE differs from source by >5%; category=data source issue; computed=23.3132720937599; source=31.45
ASIANPAINT,2021: ROE differs from source by >5%; category=data source issue; computed=25.042948617835393; source=31.45
ASIANPAINT,2022: ROCE differs from source by >5%; category=version difference; computed=33.11903370348724; source=41.75
ASIANPAINT,2022: ROE differs from source by >5%; category=data source issue; computed=22.335650159281784; source=31.45
ASIANPAINT,2023: ROE differs from source by >5%; category=data source issue; computed=26.231865932966482; source=31.45
ATGL,2019: ROCE differs from source by >5%; category=version difference; computed=34.35828877005348; source=21.2
ATGL,2020: ROCE differs from source by >5%; category=version difference; computed=33.649289099526065; source=21.2
ATGL,2020: ROE differs from source by >5%; category=data source issue; computed=29.63970088375255; source=20.5
ATGL,2021: ROCE differs from source by >5%; category=version difference; computed=29.80105562322371; source=21.2
AXISBANK,2013: OPM mismatch; category=data source issue; computed=30.58161350844278; source=1353.0
AXISBANK,2014: OPM mismatch; category=data source issue; computed=31.474168597630626; source=2307.0
AXISBANK,2015: OPM mismatch; category=data source issue; computed=31.36221426759492; source=3097.0
AXISBANK,2016: OPM mismatch; category=data source issue; computed=32.611983995315704; source=3466.0
AXISBANK,2017: OPM mismatch; category=data source issue; computed=53.450675766692115; source=-5715.0
AXISBANK,2017: ROE differs from source by >5%; category=data source issue; computed=6.525363604114934; source=18.4
AXISBANK,2018: OPM mismatch; category=data source issue; computed=63.11708169506335; source=-10277.0
